student_id,gender,age,parent_education,family_income,attendance_pct,internal_marks,assignments_submitted_pct,previous_grade,extracurricular,final_result
S00001,Male,20,Primary,32107,93.7,51.2,87.2,C,Low,Pass
S00002,Female,20,Postgraduate,17957,90.4,63.0,79.8,B,Low,Pass
S00003,Male,18,Secondary,21234,83.4,42.9,96.2,F,Low,Fail
S00004,Female,16,Primary,15996,89.5,69.4,76.8,C,None,Pass
S00005,Male,21,Secondary,33491,78.0,44.3,68.7,C,None,Fail
S00006,Male,17,Graduate,36076,86.7,68.3,78.1,B,Low,Pass
S00007,Male,19,Graduate,10704,74.5,41.9,53.1,B,None,Pass
S00008,Female,18,Graduate,21892,78.8,47.4,87.0,A,Low,Pass
S00009,Female,21,Graduate,9432,84.2,84.6,88.8,C,Medium,Pass
S00010,Female,22,Primary,4289,77.2,64.1,83.7,C,Low,Pass
S00011,Female,22,Graduate,12872,80.0,83.7,78.9,D,None,Fail
S00012,Female,17,Primary,35861,77.4,77.7,56.7,A,Low,Pass
S00013,Male,18,Secondary,19067,82.1,71.8,75.1,B,Low,Pass
S00014,Male,16,Secondary,37268,74.5,53.6,74.9,F,Low,Fail
S00015,Male,22,Secondary,22114,88.0,64.5,69.0,F,Low,Fail
S00016,Female,18,Secondary,22940,99.0,64.3,96.6,D,Medium,Pass
S00017,Female,20,Graduate,8548,78.2,83.3,80.4,B,None,Pass
S00018,Male,22,Postgraduate,19176,76.1,64.6,77.8,C,Medium,Pass
S00019,Female,17,Postgraduate,25942,90.0,67.8,87.2,B,Medium,Pass
S00020,Female,21,Graduate,14799,87.3,74.4,73.8,A,None,Pass
S00021,Female,20,Secondary,10379,92.9,82.4,78.0,C,Medium,Pass
S00022,Female,19,Secondary,5221,92.2,69.7,87.9,C,High,Pass
S00023,Male,16,Secondary,3903,84.7,50.6,91.4,A,Low,Pass
S00024,Other,20,Secondary,29908,90.1,63.1,89.2,C,Low,Fail
S00025,Male,20,Secondary,18302,93.6,68.2,73.6,F,Low,Fail
S00026,Male,22,Postgraduate,25873,73.6,75.4,75.3,C,Medium,Pass
S00027,Male,22,Secondary,34851,70.6,47.3,71.6,A,Low,Pass
S00028,Female,22,Secondary,27475,76.4,64.4,65.0,C,Low,Fail
S00029,Male,19,None,30316,61.2,79.5,50.1,B,High,Pass
S00030,Female,19,Secondary,13517,89.2,45.4,60.3,D,Low,Fail
S00031,Male,22,Graduate,6995,81.7,62.9,68.8,C,Medium,Pass
S00032,Male,20,Graduate,56832,95.3,47.2,84.5,B,Medium,Pass
S00033,Male,20,Primary,35486,86.0,57.8,55.9,C,None,Fail
S00034,Female,19,Secondary,25877,100.0,71.1,100.0,B,None,Pass
S00035,Male,18,Graduate,36236,100.0,73.4,91.7,D,Low,Fail
S00036,Female,18,Primary,17703,82.1,78.3,71.5,A,Medium,Pass
S00037,Male,20,Secondary,31729,84.2,31.7,95.9,C,Low,Fail
S00038,Male,16,Graduate,33206,83.0,66.7,91.2,D,Medium,Pass
S00039,Female,21,Secondary,2000,76.6,70.9,70.1,C,Low,Fail
S00040,Male,20,Secondary,43073,73.0,76.6,76.0,D,None,Fail
S00041,Male,22,Primary,29867,96.8,78.3,97.7,D,Medium,Pass
S00042,Male,16,Graduate,17934,87.3,48.3,65.4,D,High,Fail
S00043,Female,21,Graduate,2000,81.5,54.7,86.5,B,Low,Pass
S00044,Male,21,Primary,44067,87.7,72.4,83.8,B,Low,Pass
S00045,Male,21,Graduate,25684,88.9,66.0,82.6,F,High,Pass
S00046,Female,16,Secondary,46767,94.6,97.3,80.4,C,High,Pass
S00047,Male,21,Secondary,3207,92.8,62.6,71.6,B,Low,Pass
S00048,Other,18,Graduate,2000,88.6,78.6,95.3,B,High,Pass
S00049,Other,20,Graduate,35503,83.7,68.9,75.3,D,High,Pass
S00050,Female,22,Secondary,28880,97.3,68.3,86.5,C,Medium,Fail
S00051,Female,20,Postgraduate,18249,91.2,54.0,84.5,F,Low,Pass
S00052,Female,17,Secondary,29984,77.5,88.3,73.9,C,Medium,Pass
S00053,Female,21,Graduate,16551,100.0,91.0,90.3,C,Medium,Pass
S00054,Female,17,Secondary,2000,99.4,78.3,92.8,B,Low,Pass
S00055,Male,22,Secondary,39529,91.5,83.2,84.7,D,None,Pass
S00056,Female,17,Secondary,5432,91.7,70.5,75.4,B,Low,Fail
S00057,Female,20,Postgraduate,4515,90.0,62.5,97.6,B,None,Pass
S00058,Female,19,Secondary,25862,62.2,63.5,57.7,D,Low,Pass
S00059,Female,22,Secondary,27722,77.2,65.4,76.0,F,Low,Fail
S00060,Female,17,Graduate,33648,88.1,100.0,96.5,A,Low,Pass
S00061,Male,16,Graduate,28898,72.1,46.6,69.6,B,Low,Pass
S00062,Female,17,Primary,60614,90.1,58.4,100.0,A,Low,Pass
S00063,Female,17,Secondary,2000,84.8,55.7,64.7,C,Medium,Pass
S00064,Female,22,Graduate,27609,94.1,69.9,94.5,D,Medium,Pass
S00065,Female,17,Secondary,15060,90.7,53.6,64.0,C,Low,Pass
S00066,Female,21,Secondary,24008,72.9,55.2,68.5,B,None,Pass
S00067,Other,20,Graduate,60848,79.0,66.8,75.9,D,Medium,Pass
S00068,Female,18,Postgraduate,32320,100.0,68.2,96.4,D,Low,Pass
